protein	Intercept_value	Intercept_se	Intercept_t	Intercept_p	beta_value	beta_se	beta_t	beta_p	rsquared	samples	rsquared_rank
Q08629	0.474102100904885	0.0995982076076971	4.7601469172247	3.50749619869775e-05	0.502132867461511	0.144771173134987	3.46845892443874	0.00144039415158711	0.261354619356008	PLA	1054
Q08708	0.0180622739755443	0.0755563708951892	0.239056928774412	0.81249661275004	0.572333050444417	0.100765514172513	5.67985044431539	2.24465703143618e-06	0.486875335590108	PLA	779
Q08AG7	0.326953294396106	0.156248334067269	2.09252339455565	0.0439291497111837	0.699308853707581	0.0948302955668559	7.37431903515015	1.50758699120138e-08	0.615300108621359	PLA	583
Q0Z7S8	0.122128981590397	0.0622845541338993	1.9608229245383	0.058133192190764	0.900242458749647	0.0706764489320924	12.7375168440427	1.69596714920598e-14	0.826746591492855	PLA	158
Q10471	-0.0688424479457456	0.0563202999450103	-1.222338091469	0.229986167709169	0.576874972273477	0.111165817717193	5.18931973982373	9.75657228492656e-06	0.441973805004126	PLA	845
Q10588	-0.0497584957142407	0.0426619363382732	-1.16634405245223	0.251591638308936	0.797997185993842	0.100670076496037	7.92685586193289	3.11314548266929e-09	0.648887441507132	PLA	529
Q10589	0.133802702879477	0.0651946553086315	2.05235693395502	0.0478972980523344	0.763214185566024	0.108171151814802	7.05561670335828	3.79970719477502e-08	0.5941835864312	PLA	617
Q11201	-1.18553080867625	0.0741839706646361	-15.9809565065704	2.23075604075912e-17	0.844939658177869	0.0714112934933526	11.8320172740817	1.32825583792275e-13	0.804593919675855	PLA	215
Q12765	0.576123954632927	0.101233055849732	5.69106552990075	2.17049796087021e-06	0.886295672636437	0.106836437316283	8.29581830787386	1.10710477481499e-09	0.669326968156523	PLA	482
Q12778	0.714475530871473	0.259874659073286	2.74930819888055	0.00949415335494876	0.780179972906768	0.0786262802193843	9.92263618131111	1.42271429595329e-11	0.743316235591879	PLA	358
Q12794	0.313506654546863	0.0670539707814019	4.67543757503794	4.50863563617432e-05	0.368757879083838	0.124886341235696	2.95274787807169	0.00567632057942338	0.204096003462573	PLA	1118
Q12805	-0.0777464761296656	0.195578429733963	-0.397520709392241	0.6934683203062	0.39976346128552	0.181858779118307	2.19820820981898	0.0348409713400654	0.124436147617628	PLA	1192
Q12846	-0.107877605630343	0.160852348716461	-0.670662296765721	0.506966206474592	0.90884834738974	0.0766303822291509	11.8601567805309	1.24411149727813e-13	0.805339780429278	PLA	213
